portfolio,website,year,summary
Siftery,http://credii.com/,,Siftery allows you to share products you use at work and explore what others are using. 
Bustle,http://bustle.com/,,"Bustle is a news, entertainment, lifestyle and fashion website that caters to women. "
Neighbor.ly,https://neighborly.com/,,Community Investment Marketplace 
Boost Media,http://boostmedia.com/,,Boost Media is a startup that uses crowdsourcing and split testing to help businesses find effective words and images for their online ads. 
CultureAlley,http://culturealley.com/,,CultureAlley is an online language education platform. 
Vulcun,http://higear.com/,,"Vulcun offers the largest prize pools in Fantasy eSports today, allowing gamers to support their favorite pro players and win hundreds of thousands in real money each season. "
YogoMe,http://yogome.com/,,Educational Mobile Games for Kids 
TuckerNuck,http://tnuck.com/,,Tuckernuck is an online boutique that puts a fresh spin on classic American style. 
DailyMuse,http://themuse.com/,,"The Muse is the most trusted career brand for Millennials, helping 4+ million people/month find jobs & succeed in their careers. "
uBiome,http://ubiome.com/,,"uBiome, Inc. provides a microbiome sequencing service that provides information and tools for users to explore their microbiome. "
FirstOpinion,http://firstopinion.co/,,First Opinion - Text a Doctor 
Tradesy,http://tradesy.com/,,"Tradesy is an e-commerce platform that trades used clothing, shoes, bags, and accessories. "
Chewse,http://chewse.com/,,"Chewse, an online platform, allows office workers to browse through catering menus from local restaurants to create personalized menus. "
TotSpot,http://totspot.me/,,Totspot is a mobile marketplace for moms to shop and sell kids fashion. 
Funnely,http://funne.ly/,,Funnely optimices Facebook ads conversion funnel for E-commerce companies. It is a SaaS that uses the power of behavioral data to optimize social ads campaigns through Facebook. 
Bukalapak,http://bukalapak.com/,,Bukalapak connects individual-small medium company to Indonesian consumers in just few minutes. Bukalapak help them prosper and success with the platform. 
Mayvenn,http://mayvenn.com/,,"Mayvenn is a service for African American hairstylists to add a retail component to their business. Using Mayvenn, hair stylists can create personalized e-commerce websites and mob "
Stupeflix,http://stupeflix.com/,,Replay is an iPhone application dedicated to providing an easy and fast tool to create videos. 
ViralGains,http://viralgains.com/,,The Global Platform for Viral Video 
Zesty,http://zesty.com/,,"Zesty delivers fresh meals from local restaurants. For every dish, often cooked in a healthier way or created off-menu, exclusively for Zesty, nutrition facts are provided. "
Venzee,http://venzee.com/,,"With Venzee, vendors and retailers have a central hub to share and receive product information adapted to any sales channel or platform. Our tool allows anyone to automate the proc "
Wildfire,http://wildfireapp.com/,,"Wildfire, a division of Google, is a provider of enterprise social media marketing software. "
Contactually,http://contactually.com/,,Contactually is a relationship marketing platform that helps companies and individuals keep and generate business from their network. 
Bombfell,http://bombfell.com/,,Bombfell is an online clothing retail store providing personalized clothes for men. 
Rover,http://roverlabs.co/,,iBeacon platform that enables retailers to deliver content based on a customer's location within a store. 
SendGrid,http://sendgrid.com/,,"SendGrid is a proven, cloud-based customer communication platform that drives engagement and business growth. "
InstaGIS,http://instagis.com/,,Global realtime platform of decision-making data for marketers. 
Givesurance,http://givesurance.org/,,Funding platform for charities that enables supporters to make annual donations through their existing insurance payment. 
EquityZen,http://equityzen.com/,,Marketplace for pre-IPO investments 
Instamojo,http://instamojo.com/,,Democratizing payments for everyone. 
eSpark,http://esparklearning.com/,,eSpark's solution has been proven to help districts leverage iPads and the ecosystem of educational apps to improve student achievement. 
KiteReaders,http://kitereaders.com/,,"KiteReaders is the platform for publishers & authors to create, distribute & market their children's picture books for iBooks, Kindle and Nook stores "
Cuponomia,http://cuponomia.com.br/,,online Coupon codes for major retailers 
WalkerCo,http://walkerandcompany.com/,,We make health and beauty simple for people of color. 
Sunrise,http://sunrise.am/,,"Sunrise is a free calendar app specifically designed to make your life easier. Available on Android, iPhone, iPad, Mac & Web. "
Trusted Insight,http://thetrustedinsight.com/,,Trusted Insight is the leading Institutional Syndication Platform for Alternative Assets. Its members manage over $18 Trillion in AUM. 
GoSpotCheck,http://gospotcheck.com/,,GoSpotCheck develops web and mobile apps that help employees gather real-time retail intelligence information from the field. 
Viki,http://viki.com/,,"Viki is a global TV site that streams TV shows, movies and other premium content, translated into more than 200 languages by a community of avid fans. With nearly 1 billion words t "
AdEspresso,http://adespresso.com/,,"AdEspresso offers services for advertisers and media agencies to create, analyze, and optimize their Facebook advertisements. "
Estately,http://estately.com/,,Estately is a real estate search site where users can search for information on houses for sale on a map and view detailed descriptions. 
Blueboard,http://blueboard.com/,,The best employee rewards. 
Fave,http://kfit.com/,,"KFit seamlessly connects consumers and fitness businesses in key cities across Asia Pacific. It gives people more ways to stay healthy and keep fit, creating new business opportuni "
Iterable,http://iterable.com/,,"Iterable makes consumer growth marketing simple. Using Iterable, marketers send the right message, to the right device, at the right time. "
ToutApp,http://toutapp.com/,,Toutapp is a communication platform enabling sales individuals track emails and maintain a healthy CRM. 
Papaya,http://www.cinepapaya.com/,,"Cinepapaya.com is a platform for the online and mobile sales of movie tickets for emerging markets, offering a B2B E-commerce turn-key solution for partner movie theatres including "
Hinge,http://hinge.co/,,Hinge is a social discovery network helping users meet new people through friends. 
AuditFile,http://auditfile.com/,,AuditFile.com offers cloud-based auditing solutions for CPA firms. 
Flywire,http://peertransfer.com/,,"Flywire, formerly PeerTransfer, helps users save money and time to educational institutions and their international students when paying and processing tuition and fees. "
Contently,https://contently.com/,,Empowering brands and journalists to connect and tell stories 
MyTime,http://mytime.com/,,"MyTime provides an iPhone or Android app to book appointments online with over two million businesses nationwide for haircuts, massages, dog grooming and more. The new MyTime Sched "
Eko,http://ekoapp.com/,,Enterprise mobile messaging with integrated task and project management 
Brainient,http://brainient.com/,,"Brainient give clients the tools to create rich, engaging and interactive video formats which can be delivered across a range of devices. "
Conekta,http://conekta.io/,,Conekta is a platform that allows businesses in Latin America to process online payments using both online and offline methods. 
OwnLocal,http://ownlocal.com/,,OwnLocal is the automated digital ad agency for local media. 
Compstak,http://compstak.com/,,"CompStak employs a crowdsourced model to gather commercial real estate information for investors, brokers, asset managers and appraisers. "
Giftcard Zen,http://giftcardzen.com/,,GiftcardZen is a giftcard marketplace wherein particpants buy and sell discards from numerous merchants. 
Silverpush,http://silverpush.co/,,Creating a single digital identity across devices 
Storytree,http://storytree.me/,,"Use the photos from your mobile phone, Facebook, Instagram and Dropbox to create the perfect album. All of our books are handmade in California and exclusively printed on high-qual "
Senzari,http://senzari.com/,,Senzari develops data and intelligence solutions for the media and entertainment industry. 
Epic!,https://www.getepic.com/,,"Epic! opens the doors to a new world of reading for kids 12 and under by providing an unlimited selection of eBooks that can be instantly discovered, read and shared with friends. "
CoContest,http://cocontest.com/,,CoContest offers an online crowdsourcing platform for interior design. CoContest allows customers wanting to refurbish an existing space to put their project out to architects and 
HappyCo,http://happyco.com/,,HappyCo is taking traditional paper based processes out of the dark ages. 
Boatbound,http://boatbound.co/,,Boatbound is a fully insured pier-to-pier marketplace for boat rentals in the U.S. 
StudySoup,http://studysoup.com/,,StudySoup is a peer-to-peer marketplace through which college students can buy and sell high quality study materials. 
Gyft,http://gyft.com/,,"Gyft is a mobile gift card app that allows customers to buy, store, send and redeem gift cards conveniently from their mobile device. Gyft is seamlessly integrated with Facebook so "
Virool,http://virool.com/,,"Virool is a programmatic video marketing platform for individuals, small businesses and global brands and their agencies. "
BTCJam,http://btcjam.com/,,"BTCJam is the first and leading GLOBAL peer to peer lending platform, and the first to offer a global credit score to its users. "
Italist,http://italist.com/,,"Italist is revolutionizing the online distribution of Italian luxury clothes, shoes and accessories. Italist, based in Beverly Hills, CA, is the first online marketplace fully dedi "
AdStage.io,http://adstage.io/,,"AdStage Inc. is an advertising technology startup building advanced tools to help businesses build, manage and optimize online ad campaigns. "
