portfolio,website,year,summary
Pantry,http://pantryretail.com/,,"Pantry provides instant access to fresh food through a network of swipe, grab and go kiosks. "
Tiny Post,http://tinypost.co/,,"Tiny Post allows users to easily add text to images, link them to certain locations, and share them on various social networks. "
Magoosh,http://magoosh.com/,,Magoosh is an online educational platform that teaches students through video explanations and lessons to help them prepare for exams. 
Carelulu,http://carelulu.com/,,"Curated marketplace that helps parents find licensed child care centers, home daycare, and preschools. "
Tradegecko,http://tradegecko.com/,,Inventory Management Software for Your Growing Business 
Regresa Pronto,http://regresapronto.com/,,"Test, control and improve in-store customer satisfaction. "
Geekatoo,http://geekatoo.com/,,"Geekatoo offers at-home tech support services such as computer repair, virus removal, camera and printer repair and building websites. "
Tamatem,http://tamatem.co/,,Tamatem is a mobile games publisher serving the Arab world with games tailored for their language and culture. 
Front Row,http://frontrowed.com/,,"Front Row Education specializes in bringing together the best in technology and great teaching to create unique, modern and interactive experiences. "
Power Supply Collective,http://mypowersupply.com/,,"Great tasting food delivered weekly, made from the really good stuff, by local chefs and artisans we admire, with lots of variety and choice, in a super simple experience and all s "
Rocket,http://rocket.la/,,Connecting the right millennial with the best credit card that they can afford. 
InnovAccer,http://innovaccer.com/,,"Through implementations of machine learning and Big Data technologies, InnovAccer simplifies access to structured data and analytics with platforms that learn. "
Aircall,http://aircall.io/,,"Aircall provides collaborative tools to manage calls as a team : shared activity feed and contacts, forward/store/comment functions, anywhere access "
Metadata,http://metadata.io/,,Metadata automates demand generation for B2B companies using data enrichment and targeted advertising. 
Snapsheet,http://snapsheet.com/,,Mobile self-service claims solution 
RunRun.it,http://runrun.it/,,Runrun.it is SaaS-based software enabling managers to boost their teams' productivity through task management and performance evaluation. 
Wanderu,http://wanderu.com/,,Wanderu is a ground travel meta-search website that helps travelers find and book inter-city bus and train travel in North America. 
Qimple,http://qimple.com/,,"Qimple helps great companies make better hires in less time: create job ads, post and distribute with one click, and hire all in one place. "
Ironclad,http://ironcladapp.com/,,"Ironclad acts as an automated legal assistant, to create standard documents that companies require. "
iMoney,http://imoney.my/,,iMoney Group is a financial comparison website in Malaysia. 
Mattermark,http://mattermark.com/,,"Mattermark is on a mission to organize the world's business information. We help dealmakers identify valuable opportunities to do business, with deal intelligence. "
Sourceeasy,http://sourceeasy.com/,,"Sourceasy is a web platform for designers, ecommerce stores, brands to source their private label apparel online, which our offline network manufactures and delivers to them. "
Fetchr,http://fetchr.us/,,Fetchr's app takes all the hassle and inconvenience out of package delivery in a region of the world where there are no addresses. The app uses proprietary technology to schedule p 
Bespoke Post,http://bespokepost.com/,,Bespoke Post is a lifestyle subscription club for menthat usesa subscription-based box of the month model. 
SpotHero,http://spothero.com/,,"SpotHero is an on-demand parking app the helps drivers find off-street parking, compare rates and book a spot in advance "
TrustedCompany.com,http://trustedcompany.com/,,TrustedCompany.com is an open review community that helps consumers identify trustworthy and reliable online merchants. 
Simple,http://simple.com/,,Simple is a web and mobile application that unifies various accounts into one accessible bank card. 
15Five,http://15five.com/,,"15Five is an inter-company employee feedback system enabling companies to surface problems, discover ideas, and stay tuned in to morale. "
PayClip,https://www.clip.mx/,,Square for mexico 
ActivityHero,http://activityhero.com/,,One-stop shop to find and book kids camps and classes 
MeUndies,http://meundies.com/,,The World's Most Comfortable Underwear 
Rachio,http://rachio.com/,,Rachio is a technology company offering a smart irrigation controller with cloud-based software and web-based dashboards. 
CareGuide,http://careguide.com/,,"CareGuide is a family of online services and our mission is simple: pair families and individuals with great care providers. With thousands of user profiles, you'll be able to find "
Storyhunter,http://storyhunter.tv/,,Original Video Journalism Platform 
Kibin,http://kibin.com/,,Kibin is an online forum that provides proofreading services with objective feedback on a users documents. 
Firefly Space Systems,http://fireflyspace.com/,,"FireFly is a ground-based small satellite launch company aiming to serve the >1,000kg to Low Earth Orbit market. "
Bounty Hunter,http://bhuntr.com/,,"We crowdsource ideas and artwork for brands with a strong talent base that could guarantee submissions for the competitions, it's all public and could be turned into a marketing op "
Tapastic,http://tapastic.com/,,"Tapastic is ""Youtube for comics"" - leading online publishing platform and community for comics "
MexicoDestinos,http://mexicodestinos.com/,,Travel as you Google. 
Coinalytics,http://coinalytics.co/,,Coinalytics helps data-intensive enterprises to derive newfound real-time business intelligence and risk assessment from blockchains and decentralized applications. 
Cleanify,http://cleanify.com/,,Cleanify connects you to the best cleaning services in your neighborhood. 
Unikrn,http://unikrn.com/,,"Unikrn is a gaming, eSports, and entertainment company which offers a platform for consumers to watch and wager on eSports matches and tournaments throughout the world. "
YogaTrail,http://yogatrail.com/,,"Online network where users find and connect with yoga studios, teachers, and retreats. "
Wanderable,http://wanderable.com/,,Wanderable helps engaged couples fund their honeymoons by offering beautiful free honeymoon registries. 
HappyFresh,http://happyfresh.com/,,HappyFresh lets you shop all your favorite products from great grocery stores around the city at the tap of a button. 
Backtype,http://backtype.com/,,BackType is a marketing intelligence platform powering social features and helping businesses understand the impact of social media. 
Linguatrip,http://linguatrip.com/,,LinguaTrip Book language courses and student accommodation worldwide. 
Airpair,http://airpair.com/,,AirPair is the fastest way to get software help. Pay as you go remote consulting & expert pair programming help through video chat & screen sharing. 
BlockCypher,http://blockcypher.com/,,Amazon Web Services for Bitcoin 
I3zif,http://i3zif.com/,,I3zif is an online music center that teaches users how to play musical instruments through pre‐recorded video tutorials. 
Cloudpeeps,http://cloudpeeps.com/,,"CloudPeeps is a freelance marketplace that matches businesses with the world’s top marketing, content and community talent. "
Vessel,http://vessel.io/,,Vessel has created an advanced and powerful WYSIWIG platform that empowers product managers/marketers to rapidly build and launch experiments (no coding required) in their native m 
Lumific,http://lumific.com/,,Lumific automatically sorts and edits photos stored in the cloud. 
PlayCanvas,http://playcanvas.com/,,"PlayCanvas is a cloud-hosted, collaborative platform for building video games. "
Retailigence,http://retailigence.com/,,Retailigence is a hyperlocal marketing platform providing customer application usage data to retailers and brands. 
Zozi,http://zozi.com/,,"SaaS reservation and payments platform + consumer marketplace for tours, activities and events "
Smart Bites,http://okpanda.com/,,OKpanda develops innovative digital products for learning English. 
PayrollHero,http://payrollhero.com/,,PayrollHero is a startup aimed at streamlining payroll and time and attendance tracking for iOS devices. 
Goldbely,http://goldbely.com/,,Goldbely is a marketplace that enables consumers to buy food directly from the country's best independent food makers. 
Agfunder,http://agfunder.com/,,Crowdsource fundraising for Ag and AgTech 
Local Plant Source,http://localplantsource.com/,,E-commerce for commercial landscaping 
FoodA,http://fooda.com/,,Fooda is a food technology platform that connects restaurants to people while at work. 
Versus,http://versus.com/,,Versus offer over 45 million natural language text comparisons ranging from smartphones to universities in 18 languages. 
Transcriptic,http://transcriptic.com/,,"Transcriptic offers ""science-as-a-service,"" through its software and robot-enabled remote lab which leverages automation and control technology, to perform studies and trials. "
Eaze Solutions,http://eazeup.com/,,Revolutionizing medical marijuana delivery. 
Junglee Games,http://jungleegames.com/,,Fastest Growing Real Money Mobile and Casino Games for India. Over 10 million users. 
Zencoder,http://zencoder.com/,,"Zencoder is web-based video encoding SaaS, designed to convert any video into web and mobile-compatible formats in real-time. "
Silkroad Images,http://silkroadimages.com/,,SilkRoad Images is a library for quality oriental and authentic Middle Eastern stock photography at reasonable prices. 
StormPulse,http://stormpulse.com/,,Stormpulse provides businesses with weather advisories and news to assist their long term and daily decision-making. 
ScentBird,http://scentbird.com/,,"Scentbird is a perfume subscription service, which uses over 500,000 authentic reviews and algorithmic techniques to find fragrances which match the customer's personal scent profi "
WePlann,http://weplann.com/,,WePlann - The Easiest Way for the LatAm Tourist to Discover & Book Vacation Activities 
Cine+,http://cinemasapp.co/,,The fastest way to buy tickets and discover movies with your phone 
Behance,http://behance.net/,,Behance is a resource for artists to display their work and network for creative jobs. 
99.co,http://99.co/,,"99.co is an end-to-end company users technology and data science to provides renters a radically honest, transparent and delightful experience. 99.co offers a delightful search and "
Red Tricycle,http://redtri.com/,,"Red Tricycle helps busy urban parents plan their weekends by delivering timely, relevant local news through a variety of communication devices such as email, website, social media, "
Dailyworth,http://dailyworth.com/,,"DailyWorth is a digital media company offering a platform for women on things related to money, career and entrepreneurship. "
Holidog,http://holidog.com/,,The Global Marketplace for Pet Owners and Tindog (Tinder for Dogs) 
Skygiraffe,http://skygiraffe.com/,,"SkyGiraffe immediately deploys unlimited read & write mobile applications, for virtually any business function to any device. "
LeadGenius,http://leadgenius.com/,,"LeadGenius is a sales-acceleration solution that provides companies with an accurate, efficient way to qualify, deliver, and convert leads "
Chromatik,http://chromatik.com/,,"Chromatik builds products for musicians to learn, play, and share the music they love. "
Allay,http://allay.io/,,Allay is an HR and benefits platform for insurance brokers and their customers. 
SocialTools,http://socialtools.me/,,"Social Marketing Suite, that enables Marketers to run promotions & contests on Facebook. "
AirPR,http://airpr.com/,,"AirPR is a PRTech company that provides analytics, insights, and measurement solutions for the evolving PR industry. "
ShopGoMe,http://shopgo.me/,,"ShopGo provides a world-class platform with MENA specific features and support, giving you access to the world, from your backyard. It supports you with the basics and extras of ME "
Nomiku,http://nomiku.com/,,Nomiku is an immersion circulator that assists in cooking food at the right temperature. 
MoonFruit,http://moonfruit.com/,,Moonfruit is a UK-based company that offers a free website builder as well as a website building service. 
ZipMatch,http://zipmatch.com/,,ZipMatch.com offers quality listings that give buyers a reliable source of legitimate properties and help sellers find qualified buyers. 
Salido,http://salido.com/,,SALIDO is a single platform for restaurant operations. rOS (restaurant Operating System) 
Shots Mobile,http://shots.com/,,Keep up with your friends through selfies and videos! 
GitLab,http://gitlab.com/,,"GitLab is the optimized open-source code collaboration platform that allows users to create, review, and deploy code simply and effectively. GitLab includes Git repository manageme "
ColourLovers,http://colourlovers.com/,,"COLOURlovers is a creative community enabling users to discuss trends, explore articles and share user-generated colors, palettes, patterns. "
FIGS,http://wearfigs.com/,,FIGS creates the highest quality medical apparel in the world. 
Likeable Local,http://likeablelocal.com/,,"Likeable Local is a software solution for SMB's that incorporates four components: vertical specific content suggestions and publisher, social ad buyer, app and mobile friendly web "
Lagoa,http://lagoa.com/,,"Lagoa is a cloud platform enabling 3D visualization of content for the engineering, architecture, media and entertainment sectors. "
Volta Industries,http://www.voltacharging.com/,,Free Sponsored Electric Vehicle Charging 
Proven,http://proven.com/,,"Proven is a job search platform that enables its users to organize resumes, applications, etc. in one place. "
SendHub,http://sendhub.com/,,SendHub is the Business Phone System for Mobile 
Rapportive,http://rapportive.com/,,Rapportive is an email add-on that displays social media info about contacts inside the users inbox. 
BlueLeaf,http://blueleaf.com/,,Salesforce.com meets Mint.com for Wealth Managers 
Privy,http://privy.com/,,Privy bridges the connection between online visitors and in-store purchases by engaging and tracking visitors. 
BoomTrain,http://boomtrain.com/,,"Boomtrain is a machine intelligence layer that leverages predictive algorithms to drive increased clicks, engagement and revenue through incredible, personalized customer experienc "
Visually,http://visual.ly/,,Visual.ly is a community platform for data visualization and infographics that connects designers with clients to create content. 
Mindsnacks,http://mindsnacks.com/,,MindSnacks develops multiplayer mobile learning games for learners of all ages. 
Jamalon,http://jamalon.com/,,Jamalon is an online bookstore in the Middle East offering Arabic and English titles with home delivery and customized payment methods. 
FabFitFun,http://fabfitfun.com/,,"FabFitFun is a women’s lifestyle brand and community for everything beauty, fashion, wellness, and beyond. Our seasonal boxes are a great way for members to discover curated produc "
Cloudability,http://cloudability.com/,,Cloudability is a financial management tool for monitoring and analyzing cloud expenses across any organization. 
Lettuce,http://lettuceapps.com/,,"Lettuce is an inventory and order management system that enables SMBs to capture, track, and process orders from multiple sales channels. "
The Ticket Fairy,http://theticketfairy.com/,,"The Ticket Fairy is a ticketing, marketing and rewards system that powers technology for concerts, festivals and arts events throughout Australia, the USA, the UK, New Zealand and "
Talkable,http://talkable.com/,,Talkable is a technology platform that enables marketers to run customizable Refer A Friend Programs. 
Peatix,http://peatix.com/,,"Peatix is a global event registration platform that provides organizers with the tools to create, promote, and sell out events. "
Linte,http://linte.com.br/,,Cloud-based software for the Legal Services Industry 
CargoBase,http://cargobase.com/,,"Cargobase, headquartered in Singapore, was founded in 2013 by freight and tech professionals that believe in making Spot Buy freight easier to manage. The vision is to create a hea "
Hornet,http://gthrnt.com/,,"Let's meet, chat, date on Hornet. The Premier Gay Social Network. "
Between,http://between.us/,,"Between is a mobile app for couples. Chat, share photos and schedules in a private space just for two. Start now and collect all your moments together. "
Coinpip,http://coinpip.com/,,CoinPips helps businesses send payments and payouts to remote workers using blockchain technology as a payment rail 
Alfred Labs,http://my-alfred.com/,,Alfred is a mobile app turning smartphones into surveillance cameras. 
ContenTools,http://contentools.com/,,"All-in-one software for developing, managing and sharing unique content. "
Remix,http://getremix.com/,,The new standard in transit planning. 
Baker Technologies,http://trybaker.com/,,"Baker provides the best cannabis buying experience possible, by giving dispensaries the ability to treat their regular customers like VIPs. "
MakeSchool,http://makeschool.com/,,MakeSchool is building a replacement for the computer science degree. 
Influitive,http://influitive.com/,,"Influitive helps marketers capture the enthusiasm of their best customers, followers and evangelists, turning that into direct support through all stages of the buying cycle, from "
Wevorce,http://wevorce.com/,,"Wevorce offers web-based technology and a community of trained attorneys, counselors, and other experts to help couples divorce amicably. "
MyDoorman,http://doorman.co/,,"Doorman is a logistics startup that receives deliveries remotely and deliver them to customers by appointment; thereby solving the famous ""last mile"" problem. "
Omvana,http://omvana.com/,,"Omvana Changes the Way You Live Life By Giving You Access to the World's Best Library of Audios Designed to Help You Enhance Your Sleep, Meditation, Focus, Relaxation, Happiness, C "
MyPermissions,http://mypermissions.com/,,Helping protect your personal information online 
DocDoc,http://docdoc.com/,,DocDoc was founded to transform the patientsâ€™ healthcare experience through transparency in the doctor discovery process. 
Nuzzel,http://nuzzel.com/,,"Nuzzel provides a social, real-time platform that allows users to see the news that their friends share. "
ZBoard,http://zboardshop.com/,,The Weight-Sensing Electric Skateboard 
MakeLeaps,http://makeleaps.jp/,,MakeLeaps is online invoicing software 
TapFwd,http://tapfwd.com/,,Data-driven mobile ad platform built for brands 
MBDC Media,http://mbdcmedia.com/,,MBDC Media is a Jakarta-based online media company 
Prenetics,http://prenetics.com/,,Prenetics is a DNA bio-technology company focused on providing parents a higher level of pre-natal care. 
XtGem,http://xtgem.com/,,Content Network in South East Asia (and mobile website platform) 
Apptopia,http://apptopia.com/,,"Apptopia provides services in app analytics, data mining and business intelligence for the mobile industry. "
Tees.co.id,http://tees.co.id/,,"Tees.co.id is a marketplace that sells custom merchandise, such as T-shirts, posters, phone cases. "
Shoppr,http://shopprapp.com/,,"Shoppr is on a mission to create the best mobile shopping experience in Asia. To do this, we are assembling a family of great engineers, designers, and problem solvers. Members of "
Hipflat,http://hipflat.co.th/,,HipFlat helps people find homes online and make good investment decisions. 
Cobalt,http://cobalt.io/,,Cobalt is an application security platform. We crowdsource security researchers and connect them with businesses. Crowd-powered security audits and bug bounty programs as-a-service 
Fan.si,http://fan.si/,,They're committed to putting fans into the hands of artists & their managers. 
Zeemi.tv,http://zeemi.tv/,,Zeemi.tv is a new company founded by people passionate about getting the best entertainment. 
Ticketbox,http://ticketbox.vn/,,TicketBox is an online ticketing platform that helps event organizers in Vietnam and South East Asia to sell tickets. 
Firstjob.me,http://firstjob.me/,,Marketplace of young professionals to enter the job market. 
Wishbird Experiences,http://wishbird.com.mx/,,Online activity gifts 
CalzaClick,http://calzaclick.com/,,"Shoe Lovers is the world’s largest online community for shoe fashionistas, curated with love. We have grown to 38+M Facebook fans in a little over a year and a half by offering a u "
Crowdfunder,http://crowdfunder.com/,,Leading equity crowdfunding platform. 
GinzaMetrics,http://ginzametrics.com/,,GinzaMetrics offers an SEO and content marketing platform that provides recommendations and competitor analytics to agencies and marketers. 
Fanbridge,http://fanbridge.com/,,"FanBridge is a Fan Audience CRM platform used to manage fan acquisition, retention, and engagement. "
SearchMan,http://searchman.com/,,SearchMan (previously AppGrooves) enables search & discovery of the best mobile apps & shopping deals. 
MightyText,http://mightytext.net/,,MightyText is a messaging app that enables users to send and receive text and MMS messages via computers and android phones. 
Saygent,http://saygent.com/,,Saygent is a SaaS-based platform offering voice response and analysis solutions for marketers to study customer perception. 
Boxc,http://boxc.co/,,B2C International Shipping Logistics Simplified 
Waygo,http://waygoapp.com/,,Translate Abroad is a company making travel to China easier via a mobile Chinese recognized application. 
Growbots,http://growbots.com/,,Growbots is an all-in-one outbound sales automation platform. We help companies connect with the right customers at the right time turning sales into a value based process. 
Kaodim,http://kaodim.com/,,Kaodim is aan online marketplace for services comparison in Malaysia. 
Merchbar,http://merchbar.com/,,"Merchbar is the online retailer for music merchandise with over 100,000 items from 3,000 bands. "
Smove,http://smove.sg/,,We strive to make the customer experience for car sharing incredibly easy and enjoyable. We are driven by a desire to reduce your carbon 
Koemei,http://koemei.com/,,"Koemei is a 500Startups backed company that builds video search-as-a-service for website and apps, accessible through API and embed codes. "
mClinica,http://mclinica.com/,,mClinica uses mobile technology to connect pharmaceutical companies to pharmacies. 
Game Closure,http://gameclosure.com/,,"Game Closure develops multiplayer gaming technology that helps compile, accelerate and deploy games. "
42 Floors,http://42floors.com/,,42Floors is a web platform that offers an office space rentals and commercial real estate listing search by indexing business places. 
PlateJoy,http://platejoy.com/,,"PlateJoy provides a meal planning and fresh food delivery service with a focus on offering customized, local, and health ingredients that fit each customer's lifestyle and fitness "
Tinfoil Security,http://tinfoilsecurity.com/,,"Tinfoil provides software for scanning websites to detect vulnerabilities, and offers solutions to address them. "
FlightFox,http://flightfox.com/,,"Flightfox is a crowdsourced travel search platform that allows consumers to get flight, hotel and tour information from experts. "
Coursebase,http://languagecloud.co/,,Coursebase is cloud software for managing employee training 
LimeLight,http://limelightapp.co/,,See what’s going on around the world in realtime 
Slidebean,http://slidebean.com/,,Slidebean is an online platform that designs and creates presentations on demand with user provided content. 
ZoeMob,http://limetreeonline.com/,,"ZoeMob is a global mobile family assistant service application with a powerful cloud-based platform backend. It provides protection, interaction and coordination for/between parent "
Celebrate,http://getcelebrate.com/,,A New Way to Experience Life's Big Moments.Celebrate friends with a video montage 
Rain,http://rainlocal.com/,,App that helps small businesses target local customers through advertisements and on-the-spot promotions. 
Trance,http://tranceapp.com/,,Social Video for Dance 
JetBay,http://jetbay.com/,,Jetbay is Your Travel Guide to China. The complete resource for foreign travelers to research and book fantastic destinations at great prices in China. 
Qishidai,http://qishidai.com/,,Qishidai is a Mobile customer service and management platform 
Catnip,http://myata.me/,,Catnip is an app that recommends the best content from top social networks in snackable format.  
DCHQ,http://dchq.co/,,DCHQ is a deployment automation & governance platform that accelerates container-based application development for large-scale enterprises. 
Kidzjet,http://kidzjet.com/,,Privatize Children Transportation 
Speedlancer,http://speedlancer.com/,,"Speedlancer is an online task platform which enables customers to get their design, writing and data entry tasks delivered within just 4 hours. "
YellowDig,http://yellowdig.com/,,Social collaboration tool that brings real-time knowledge into the classroom. 
Goldbean,http://hellogoldbean.com/,,"GoldBean is an algorithm-driven investing platform, focused on women. We help people start their investment journey with companies and brands they love, know and buy. We are an onl "
GridCure,http://gridcure.com/,,GridCure brings the concepts and practices of big data to the electrical power utility space. 
Apptuto,http://apptuto.com/,,"Apptuto is an intelligent learning platform for standardized tests, including the CFA Exam, which reacts intuitively to user development and adapts to improve their unique way of s "
Stitch,http://stitch.net/,,Stitch is online companionship reimagined to meet the needs of people over 50. 
El Wafayet,http://elwafeyat.com/,,ElWafeyat is an online platform for obituary annoucements & family tree mapping. 
ChannelMeter,http://channelmeter.com/,,ChannelMeter is powerful online video analytics platform that leverages big data to help publishers and brands grow impact and reach success 
mxHero,http://mxhero.com/,,"mxHero develops software applications that enable users, service providers and companies to manage and analyze their email accounts. "
Promolta,http://promolta.com/,,Promolta helps musicians get discovered by promoting their music videos to highly targeted audiences. 
Ematic Solutions,http://ematicsolutions.com/,,Builds & provides powerful email marketing products & solutions leveraging big data & predictive analytics for sophisticated email campaigns 
AngelCam,http://angelcam.com/,,"The world's simplest network camera streaming solution. Now with the world?s first app-store to make your cameras automatically count moving objects, raise alarms, analyze your cus "
Pose,http://pose.com.vn/,,Pose Media and Event is the group of entertainment services in Vietnam. - We have more than 4 million monthly views with over 1.5 million unique visitors. - We created the first 
Hedgeye,http://hedgeye.com/,,Hedgeye Risk Management is a web-based financial research and media company providing investment information. 
Junior Explorers,http://juniorexplorers.com/,,Junior Explorers is a monthly subscription service that connect kids to wildlife and nature in a fun and engaging way. 
CodeUpStart,http://code4startup.com/,,CodeUpStart lets you learn how to code by recreating real apps like Kickstarter and Instagram from zero to launch 
Cooleaf,http://cooleaf.com/,,A tool for modernizing talent retention efforts. Cooleaf is a mobile and web-based technology platform focused on creating a more connected and engaged employee community while giv 
Dataculture,http://dataculture.io/,,DataCulture is building world's first predictive decision engine for logistics and supply chain SaaS. DataCulture's proprietary machine learning allows for pattern recognition with 
Mapjam,http://mapjam.com/,,"MapJam is a web and mobile map publishing platform that allows businesses, organizations, and people to create useful, personalized maps that are easy to share. "
Principly,http://principly.com/,,Principly is the modern college fund. Our mission is to make college a reality for more kids by empowering families to save smarter and raise funds from previously untapped sources 
Barn & Willow,http://barnandwillow.com/,,Barn & Willow is easiest way to buy custom window draperies and shades for your home. Premium window treatments and home decor basics at an accessible price. 
Cirrus Identity,http://cirrusidentity.com/,,"Cirrus Identity makes secure, easy to integrate, user-friendly, cloud-hosted identity solutions, with a focus on higher education. "
Datasembly,http://datasembly.com/,,"Datasembly collects pricing data from across the web, with the goal to collect every price of every product sold in every store, every day. The Datasembly CPG Prices product provid "
43Layers,http://43layers.com/,,"43Layers is a marketplace where you can design your own custom gifts, decor and accessories. "
Simpliroute,http://simpliroute.com/,,"SimpliRoute has developed software that helps users quickly plan delivery routes to customers. Their algorithms optimize the route along a number of variables, including fuel costs "
Flycrates,http://revelmart.com/,,"Revelmart provides online ordering and shipping services for the United States based items worldwide. The company offers eyes, lips, complexion, cheeks, brushes and tools, and body "
StackShare,http://stackshare.io/,,Discover & discuss software stacks. 
Mejuri,http://mejuri.com/,,An affordable fine jewelry brand powered by influencers and award winning designers 
Getlinks,http://getlinks.co/,,"GetLinks connects companies to the right programmers, designers, digital marketers. "
Sentry,http://getsentry.com/,,Sentry is an event logging platform primarily focused on capturing and aggregating exceptions. 
GoCoin,http://www.gocoin.com/,,GogoCoin is the easiest way to buy bitcoins instantly. We solve the problem of buying bitcoin through our prepaid card. The Prepaid Bitcoin Card is the most scalable method for buy 
HireArt,http://hireart.com/,,"HireArt is an online recruitment platform, engaged in the pre-screening process for suitable job seekers by creating online interviews. "
ExpenseBot,http://expensebot.com/,,Automatic Expense Reports Powered by Predictive Analytics and Machine Learning 
42,http://42technologies.com/,,"42 makes retail data simple, intuitive, and powerful. The 42 dash is a predictive analytics platform that personalizes in-store retail. "
Attendant,http://attendant.co/,,Service cancellation company for individuals who have recently lost someone 
Beam,http://www.meetbeam.com/,,Beam is an FDIC-insured mobile cash reward account targeting high-value customers. 
Fy,http://iamfy.co/,,"Fy is creating the most fun, addictive way to shop on your phone. "
Penrose Studios,http://penrosestudios.com/,,Penrose is focused on augmented and virtual reality storytelling. 
Alpha Apps,http://alpha-apps.ae/,,Alpha Apps are a leading social and mobile app agency in the Middle East. They create value for clients and end user. 
Bridg Payment Solutions,http://bridgtheapp.com/,,An advanced consumer-to-merchant smartphone payment platform harnessing the power of bluetooth 
Brushback,http://brushbackapp.com/,,"Free 24/7 Baseball News and Updates The latest news, videos, gifs, highlights, and more all beamed to your phone instantly. "
Finomial,http://finomial.com/,,"Finomial automates the hedge fund subscription process and provides investor analytics on compliance, marketing and investor relations. "
Alumnify,http://alumnify.co/,,"A solution that allows grads to build stronger alumni connections, establish new university communities, and create new job opportunities. "
Enplug,http://enplug.com/,,Enplug is a software company that built the first open platform for digital displays everywhere. 
WashBox24,http://washbox24.com/,,WashBox24 provides Bangkok with the most convenient laundry services possible. 
YesBoss,http://yesbossnow.com/,,YesBoss is an SMS-based virtual assistant. 
Panoply,http://panoply.io/,,"Panoply is a data warehousing platform, which enables users to get a modeled scalable cloud warehouse cluster over Redshift with no coding in less than 5 minutes and go from raw da "
Quickli,http://quickli.com/,,We are transforming the way local goods move around a city by enabling anyone to get any product delivered in under one hour. Our urban logistics & on-demand delivery platform conn 
PopXO,http://popxo.com/,,"POPxo is India's fastest growing fashion, beauty and lifestyle platform for women. "
Viajamex,http://www.viajamex.com/,,"Find the best deals in Hotels, Flights, Car Rental, Getaways weekends and much more travel with just one phone call.  "
Legitmix,http://legitmix.com/,,Legitmix is a Canadian company that offers services to artists who create remixes. 
Tech.eu,http://tech.eu/,,A digital publication dedicated to covering the European technology industry in depth 
Astronomer,http://astronomer.io/,,A cloud-based tool for building unified data firehoses. Hosted data pipeline service that can be used to connect any data source to any destination . Allows for complete customizab 
Motion Math,http://motionmathgames.com/,,Delightful games for elementary math's toughest concepts 
Import2,http://import2.com/,,Import2.com is a easy-to-use online data import service that helps you to transfer business or personal data between cloud apps. 1-Click Data Migration 1-Click Data Migration 
WeddingLovely,http://weddinglovely.com/,,"WeddingLovely is a collection of wedding tools and directories for promoting small business, local and independent wedding vendors. "
YaSabe,http://yasabe.com/,,YaSabe is the leading online search company that helps local businesses and national brands reach Hispanic consumers in the United States. 
FullStack Academy,http://fullstackacademy.com/,,12-Weeks to A Career in Software Development 
Cashie Commerce,http://cashiecommerce.com/,,The fastest way to create and run a successful online store. 
PogoSeat,http://pogoseat.com/,,"Mobile technology solution for teams, artists & venues that gives their fans the ability to upgrade seats & purchase unique VIP experiences "
OLSET,http://olset.com/,,OLSET is a technology provider offering big data based personalization solutions for the travel and hospitality industry. 
Mogul,http://onmogul.com/,,"MOGUL (www.onmogul.com) is a technology platform for women worldwide, connecting users to trending content including stories, products, and jobs personalized to their interests. MO "
Shelf,http://shelf.com/,,Shelf is a place to catalog your favorite things and discover great products from people who actually use them. Our vision is to build a constantly updating catalog of the world's 
Kodable,http://kodable.com/,,Kodable is a curriculum introducing kids aged 5 and up to the basics of programming in a fun game. 
Vonjour,http://vonjour.com/,,Vonjour is a Santa Monica based company with a mission of being the center of all customer conversations. 
Plympton Rooster,https://dailylit.com/,,A Literary Studio Focused on Digital Publishing 
PUSHTech,http://pushtechnology.com/,,Intelligent data distribution middleware. 
BridgeUS,http://lexspot.com/,,The easiest way for businesses and inviduals to navigate the US immigration system. 
Já Entendi,http://jaentendi.com.br/,,"Já Entendi offers a methodology capable of turning any training content such as books, manuals, and handouts into video lessons. "
CourseReport,http://coursereport.com/,,Helping you research the best coding bootcamps 
Instabeat,http://instabeat.me/,,"Instabeat is the first waterproof heads-up monitor that tracks, stores, and displays instant color-coded feedback of the swimmers' heart rate (without a chest belt) on their swimmi "
Kiko Labs,https://www.kikolabs.com/,,Kiko Labs creates adaptive games for kids based on neuroscience to challenge skills needed for academic success. 
Embroker,http://embroker.com/,,"Embroker, Inc. provides insurance brokerage services for small and mid-sized businesses. The company provides its services using an online platform that allows clients to buy, mana "
Briskio,http://brisk.io/,,Brisk.io builds tools for sales organizations to minimize reporting effort and maximize data quality and efficiency. 
Breaker,http://brkr.jp/,,"Breaker, based in Tokyo, Japan, produces innovative mobile video content focused on entertainment, music, fashion. "
Tagbeat,http://tagbeat.com/,,"Use your favorite music from Spotify to make beautiful photo stories! Tagbeat is a simple and powerful way to create beautiful, cinematic stories and present them with music from S "
Tappy,http://tappy.co/,,Hyperlocal social app that transforms any location into a virtual online community 
Beeketing,http://beeketing.com/,,Beeketing is next gen marketing automation software to help businesses plan and execute the best marketing strategy to increase sales and improve customer relationship easily and a 
Uninstall.io,http://uninstall.io/,,"Uninstall.io facilitates the process of uninstalling apps; it also measures various applicable parameters such as crashes, notifications, etc. "
Mihaibao,http://mihaibao.com/,,Mihaibao offers easy overseas shopping for Chinese customers seeking Western luxury goods. 
Incluyeme.com,http://incluyeme.com/,,Incluyeme.com is the first job portal aimed to help people with disabilities in Latin America (more than 30 million people) to find a job. 
